2018-11-07 09:55:30 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:30 [main] INFO  main.status:217 | 20100456495-01-F001-40600
2018-11-07 09:55:30 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:30 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:30 [main] INFO  main.status:217 | 20100456495-01-F001-40599
2018-11-07 09:55:30 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:30 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:30 [main] INFO  main.status:217 | 20100456495-01-F001-40598
2018-11-07 09:55:30 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:30 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:30 [main] INFO  main.status:217 | 20100456495-01-F001-40597
2018-11-07 09:55:30 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:30 [main] INFO  main.status:217 | 20100456495-01-F001-40596
2018-11-07 09:55:31 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:31 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:31 [main] INFO  main.status:217 | 20100456495-01-F001-40594
2018-11-07 09:55:31 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:31 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:31 [main] INFO  main.status:217 | 20100456495-01-F001-40595
2018-11-07 09:55:31 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:31 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:31 [main] INFO  main.status:217 | 20100456495-01-F001-40593
2018-11-07 09:55:31 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:31 [main] INFO  main.status:217 | 20100456495-01-F001-40592
2018-11-07 09:55:31 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:31 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:31 [main] INFO  main.status:217 | 20100456495-01-F001-40591
2018-11-07 09:55:31 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:31 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:31 [main] INFO  main.status:217 | 20100456495-01-F001-40590
2018-11-07 09:55:31 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:31 [main] INFO  main.status:217 | 20100456495-01-F001-40589
2018-11-07 09:55:31 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:31 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:31 [main] INFO  main.status:217 | 20100456495-01-F001-40588
2018-11-07 09:55:32 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:32 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:32 [main] INFO  main.status:217 | 20100456495-01-F001-40587
2018-11-07 09:55:32 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:32 [main] INFO  main.status:217 | 20100456495-01-F001-40586
2018-11-07 09:55:32 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:32 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:32 [main] INFO  main.status:217 | 20100456495-01-F001-40585
2018-11-07 09:55:32 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:32 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:32 [main] INFO  main.status:217 | 20100456495-01-F001-40584
2018-11-07 09:55:32 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:32 [main] INFO  main.status:217 | 20100456495-01-F001-40583
2018-11-07 09:55:32 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:32 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:32 [main] INFO  main.status:217 | 20100456495-01-F001-40581
2018-11-07 09:55:32 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:32 [main] INFO  main.status:217 | 20100456495-01-F001-40582
2018-11-07 09:55:32 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:32 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:32 [main] INFO  main.status:217 | 20100456495-01-F001-40580
2018-11-07 09:55:32 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:32 [main] INFO  main.status:217 | 20100456495-01-F001-40579
2018-11-07 09:55:33 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:33 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:33 [main] INFO  main.status:217 | 20100456495-01-F001-40578
2018-11-07 09:55:33 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:33 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:33 [main] INFO  main.status:217 | 20100456495-01-F001-40577
2018-11-07 09:55:33 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:33 [main] INFO  main.status:217 | 20100456495-01-F001-40576
2018-11-07 09:55:33 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:33 [main] INFO  main.status:217 | 20100456495-01-F001-40575
2018-11-07 09:55:33 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:33 [main] INFO  main.status:217 | 20100456495-01-F001-40574
2018-11-07 09:55:33 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:33 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:33 [main] INFO  main.status:217 | 20100456495-01-F001-40573
2018-11-07 09:55:33 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:33 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:33 [main] INFO  main.status:217 | 20100456495-01-F001-40572
